content,score,Label
RESEK ANJ GUA MAU LIAT STREAM DI GUA! NN,1,Negatif
Kapan Discord update ada Bahasa Indonesia? Soalnya saya kurang bisa mengartikan Bahasa Inggris dan lainnya.,5,Positif
dc tolong dong emoji nya di ubah jadi kek di tele pasti tambah rame kalau ga rame nanti aku jajanin sepol deh,5,Positif
bagus apk nya,4,Positif
"sering eror, ngirim gambar aja lama dan fail,, kcepatan jaringan 100mbps padahal.. yg lain lancar .",2,Negatif
bagus untuk Mabar bareng youtuber,4,Positif
keren bisa berdiskusi,5,Positif
aku log in nga bisa² Gmail nya ud bener,1,Negatif
"sampah² gua udah coba buat reset password ke nomor hp yang gua cantumin ke akun discord nya malah ga masuk masuk, mending urusin dlu tuh masalah, tlol bgt dri dulu ni masalah ga di selesain",1,Negatif
aplikasinya sudah bagus tapi kadang error waktu kirim private chat suka verifikasi kamu bukan robot mulu jadi ganggu banget mana kadang engga ke kirim juga tolong perbaiki developer👍🏾,5,Positif
"AKUN SAYA KENAPA KENA LIMITED ACCESS, PADAHAL SAYA TIDAK MELAKUKAN APA-APA, MOHON DI PERIKSA LAGI",1,Negatif
susah bet buat verif udah mah akun email sekali pakai ga jelas,1,Negatif
Bagus Ajh Pokoknya,5,Positif
"ini kenapa setiap dm orang harus are you not a robot terus? malesin banget,ribet",2,Negatif
ini karena bagus,5,Positif
"tolong banyakin fitur lain, Seperti Bahasa lain, Aku banyak yg tidak di mengerti Bahasa Asing,KLO bisa ada in fitur Translet Dan kasih fitur pemberitahuan, tentang, Dan cara penggunaanya. itu saja Kalo bisa ubah bahasanya ke Indonesia, Sekian Terimakasih",3,Netral
ga jelas tp oke juga sih,5,Positif
apk ora jelas mau add friend org mlh verifikasi email pas di masukin email nya ora bisa,1,Negatif
bagus alangkah bagus ada alih bahasanya,2,Negatif
"apk apaan nih jelek banget, udah kirim kode 20 kali masih aja tidak ada, tapi kalo di hp lain ada, apk buruk",1,Negatif
keren banget bisa ngobrol,5,Positif
aplikasi terlalu ketat sama password lupa password dikit ga bisa login apalagi suruh verif,1,Negatif
aplikasi kocak mending wa sumpah nyedot data banget co,1,Negatif
"gak jelas banget sumpah, gw isi tanggal lahir gak ada tulisan confirm nya, yang ada cuman cancel gimana sih tolong dong diperbaiki gw gak bisa bikin akun karena gitu doang😒",1,Negatif
masuk susah bgt anjg,1,Negatif
masih banyak bug di versi hp,3,Netral
gaada fitur logout untuk ganti akun tolong ditambahkan,5,Positif
padahal udah bikin tapi dikira robot terus😡😡😡😡,1,Negatif
"gak bisa masuk, udah daftar lewat email 1, gk bisa login katanya pasword ataw email gk valid, daftar lagi pakai email 2 dan 3 sama saja. lho kenapa ini",1,Negatif
"well okay semua sih cuman pas mau ganti profile foto itu uda mau pilih pas mencet malah keluar dri dc, mohon diperbaiki ya developer",5,Positif
ga ngerti hehe,1,Negatif
aku gk bisa chat di discord pas masuk vc suka turun turun mau buka vc chatny mohon untuk di perbaiki aku susah mau ngechat kalo gk bisa di buka2 di tab 🥲🥲,1,Negatif
bisa ngobrol bareng,5,Positif
"aplikasi ini memudahkan aku dan temanku untuk berbicara dan bermain game, sangat membantu",5,Positif
ini gimana ya bug nya? soalnya stiap kali voice channel pasti discord nya ngebug/lelet padahal baterai saya penuh ada juga lelet sinyal padahal sinyal bagus mohon baikin bug nya agar tidak menganggu orang lain mohon di perbaikin dan update,2,Negatif
"gaje , aneh gk bisa bikin akun",1,Negatif
"kecewa... saya hanya bercanda bahwa umur saya dibawah 13 tahun, tapi discord menganggapnya sebuah pernyataan serius dan saya ke banned, padahal saya udah verify age update tetapi masih saja terkena banned,.. kecewa padahal sering beli nitro",1,Negatif
"Aplikasi Gajelas di suruh masukin kode verifikasi tapi kode verifikasinya gk di kirim-kirim, padahal nomor ponsel ku udah valid sama sandi akunnya",1,Negatif
minta nitro gratis lagi dong,3,Netral
"kalo kaga niat kaga usah bikin, masak virfy trus gua masukin nomor kaga muncul muncul apk penurun iq",1,Negatif
tolong developer bug nya perbaiki pass share screen Ada suara aneh kayak iklan,5,Positif
kureng bahasa Indonesia rah ngerti bahasa inggris suprane wong Jawa Jawa jawa,3,Netral
suruh cek email 10 menit kagak ada email masuk,1,Negatif
kok gabisa gak jelas banget aplikasi ini,5,Positif
bagus sih sekarang ada bug yg baru! ga bisa ubah profile server!! bug ini bikin gw muak udah pencet save tapi masih ga keubah padahal jaringanku bagus 🥀,5,Positif
dikit dikit verifikasi apakah kamu manusia ble ble ble ngeyodxxxxx gajelaassss,5,Positif
"eror, mau ngetik malah keyboard nya naik turun pas di apk ini aja, trs sering ngeglich ke beranda dll kl notifikasi dc nya muncul, trs pas notif ke kirim dia spam padahal notif cmn satu bisa ke kirim 3, kasi solusi dong developer, makasii",2,Negatif
aku suka sama admin nya wkwkwk,5,Positif
bagus bisa cari teman online,5,Positif
udah cocok di kasi masuk akun Ama password nya tetap eror agk lain emang,1,Negatif
"apk gatel ribet nautkan akun game dah macem peraturan Sri Mulyani, ribet semua ajg",1,Negatif
Saya Memberi Bintang 1 Karena Banyak Laporan Palsu Yang Datang Ke akunku yang membuat akunku ditangguhkan.,1,Negatif
"pengalaman buruk ketika dalam voice channel, ketika ingin mengetikkan chat selalu naik turun naik turun chatnya, malah menampilkan kartu dari orang yang sedang di dalam voice channel tersebut yang mana tidak seberguna menampilkan riwayat chat, hal ini menjadikan pengalaman menuliskan pesan didalam voice channel adalah pengalaman yang paling buruk dan terasa sangat mengganggu",1,Negatif
susah amat dah login harus pakek email password dasar aplikasi gk guna jelek gw kasih bintang 1 jelek bet,1,Negatif
"Seru bgt bisa ngobrol bareng teman, bahkan bisa curhat ama bot. Moga aja apk ini diupdate lebih bagus",5,Positif
"aku inginnya scroll atas bawah, bukan kanan kiri",2,Negatif
ini sangat bagus bisa berkomunikasi,5,Positif
gak jelas bet sih gak ada bahasa indo nya kita perang mau gak,1,Negatif
